"study","es_id","yi","vi","target_group","format","diagnosis","type","control","region","risk_of_bias"
"rehm, 1981",783,0.584905551114129,0.247419412042434,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"rehm, 1981",784,0.700028429023389,0.251451048211284,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"rehm, 1981",785,0.213657422654448,0.163313962600907,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"rehm, 1981",786,0.487885882913804,0.167428437772416,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"rehm, 1981",787,0.569268545377148,0.169268437519002,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"rehm, 1981",788,0.0992864402301209,0.238363907838716,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"rehm, 1981",789,0.692778314161764,0.251175831609293,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"rehm, 1981",790,0.317997939957331,0.240851290643724,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"rehm, 1981",791,0.383995201041447,0.157785473218505,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"rehm, 1981",792,0.162541756365526,0.155303653749985,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"rehm, 1981",793,0.669607760669412,0.163956003619889,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"reins, 2019",794,0.316381755007509,0.0309226720172547,"adults","guided self-help","diagnosis","not-cbt-based","other ctr","europe","low"
"reins, 2019",795,0.283691233706908,0.0308469191336872,"adults","guided self-help","diagnosis","not-cbt-based","other ctr","europe","low"
"reins, 2019",796,0.30151559609457,0.0308871997989,"adults","guided self-help","diagnosis","not-cbt-based","other ctr","europe","low"
"richards, 2015",801,0.645775684004155,0.0224043552399477,"adults","guided self-help","cut-off score","cbt-based","wl","europe","some concern"
"ritvo, 2021",813,0.442933165265123,0.0911912410750652,"adults","guided self-help","diagnosis","cbt-based","cau","north america","low"
"ritvo, 2021",814,0.694516199727266,0.0944854001811828,"adults","guided self-help","diagnosis","cbt-based","cau","north america","low"
"rizvi, 2015",815,0.296894416161054,0.147500261571634,"adults","individual","diagnosis","cbt-based","wl","north america","some concern"
"rohricht, 2013",831,0.920473721010897,0.194068701143962,"adults","group","diagnosis","not-cbt-based","wl","europe","low"
"ross, 1985",832,1.48349278994312,0.125527338950167,"adults","other formats","diagnosis","cbt-based","wl","europe","some concern"
"ross, 1985",833,1.47161561481913,0.125082247814374,"adults","other formats","diagnosis","cbt-based","wl","europe","some concern"
"rosso, 2017",834,0.785627041733363,0.0561165352058593,"adults","guided self-help","diagnosis","cbt-based","other ctr","north america","some concern"
"rosso, 2017",835,0.937921881209096,0.0578557252334922,"adults","guided self-help","diagnosis","cbt-based","other ctr","north america","some concern"
"rosso, 2017",836,0.781184172463377,0.0560704121111414,"adults","guided self-help","diagnosis","cbt-based","other ctr","north america","some concern"
"rude, 1986",840,1.0279,0.10673289,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
"ruwaard, 2009",844,0.830926864220176,0.0899157019715648,"adults","guided self-help","cut-off score","cbt-based","wl","europe","some concern"
"ruwaard, 2009",845,0.519658040960335,0.0859078274523117,"adults","guided self-help","cut-off score","cbt-based","wl","europe","some concern"
"ruwaard, 2009",846,0.847330715045857,0.0901781607051832,"adults","guided self-help","cut-off score","cbt-based","wl","europe","some concern"
"ruzickova, 2021",849,0.64258107804303,0.0619301038062284,"adults","other formats","cut-off score","cbt-based","cau","europe","some concern"
"schulberg, 1996",897,0.437241987962224,0.0221432249205717,"adults","individual","diagnosis","not-cbt-based","cau","north america","some concern"
"schuster, 2017",899,0.846805374940163,0.0951898195941921,"adults","group","cut-off score","not-cbt-based","wl","europe","some concern"
"scott, 1997",923,0.461449752103397,0.121340318198607,"adults","individual","diagnosis","cbt-based","cau","europe","some concern"
"scott, 1997",924,0.484185361335838,0.121671972279273,"adults","individual","diagnosis","cbt-based","cau","europe","some concern"
"simpson, 2003",962,-0.0576173652526192,0.0307821503320328,"adults","individual","diagnosis","not-cbt-based","cau","europe","low"
"songprakun, 2012",982,0.6028,0.07540516,"adults","guided self-help","diagnosis","cbt-based","cau","east asia","low"
"sreevani, 2013",993,0.915185875121748,0.148079047577991,"adults","group","diagnosis","not-cbt-based","cau","other region","some concern"
"stiles-shields, 2018",994,0.931159709655843,0.2236312792984,"adults","guided self-help","cut-off score","cbt-based","wl","north america","some concern"
"stiles-shields, 2018",995,1.50855497757095,0.317154152882583,"adults","guided self-help","cut-off score","cbt-based","wl","north america","some concern"
"strauss, 2012",996,1.82587515261335,0.206015173488791,"adults","group","diagnosis","cbt-based","cau","europe","some concern"
"sugg, 2018",1001,0.644188982319232,0.0670127030935327,"adults","individual","diagnosis","not-cbt-based","cau","europe","low"
"szumska, 2020",1006,1.42290066444887,0.263514140009272,"adults","group","diagnosis","cbt-based","wl","europe","some concern"
"teasdale, 1984",1019,1.4637061739557,0.222405565192934,"adults","individual","diagnosis","cbt-based","cau","europe","some concern"
"titov, 2010",1034,1.07308639510618,0.0535555195982818,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"titov, 2010",1035,0.854067241436254,0.0510569961185577,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"titov, 2010",1036,1.26172098595667,0.0561626178101016,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"titov, 2010",1037,0.788158346674908,0.0504162856153908,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"titov, 2010",1038,1.07843129652772,0.0567080663934494,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"titov, 2010",1039,0.703762466019351,0.0525066145596321,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"titov, 2010",1040,1.25847103620907,0.0593553827527893,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"titov, 2010",1041,0.835650393426791,0.0537841032339956,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"tong, 2019",1047,0.625159267325384,0.0477379874998912,"adults","group","diagnosis","cbt-based","wl","east asia","some concern"
"town, 2017",1057,1.53496524150083,0.358076184395129,"adults","individual","diagnosis","not-cbt-based","cau","north america","low"
"town, 2017",1058,1.4551882078212,0.360039585322169,"adults","individual","diagnosis","not-cbt-based","cau","north america","low"
"town, 2017",1059,0.80314225012656,0.113660656364494,"adults","individual","diagnosis","not-cbt-based","cau","north america","low"
"town, 2017",1060,1.41630247057834,0.154796252786905,"adults","individual","diagnosis","not-cbt-based","cau","north america","low"
"tulbure, 2018",1065,0.864397358596459,0.0742647603219529,"adults","guided self-help","diagnosis","cbt-based","wl","europe","some concern"
"tulbure, 2018",1066,0.854724153235067,0.0741225110663325,"adults","guided self-help","diagnosis","cbt-based","wl","europe","some concern"
"tulbure, 2018",1067,0.758535387452568,0.097716545730987,"adults","guided self-help","diagnosis","cbt-based","wl","europe","some concern"
"tulbure, 2018",1068,0.885506292877247,0.100119514841809,"adults","guided self-help","diagnosis","cbt-based","wl","europe","some concern"
"turner, 1979",1069,1.10574585335117,0.185495705437511,"adults","individual","cut-off score","cbt-based","other ctr","north america","some concern"
"turner, 1979",1070,-1.14803637407903,0.24401518393863,"adults","individual","cut-off score","cbt-based","other ctr","north america","some concern"
"turner, 1979",1071,1.10574585335117,0.185495705437511,"adults","individual","cut-off score","cbt-based","other ctr","north america","some concern"
"turner, 1979",1072,-1.14803637407903,0.24401518393863,"adults","individual","cut-off score","cbt-based","other ctr","north america","some concern"
"turner, 1979",1073,0.663269570363724,0.159942725606833,"adults","individual","cut-off score","cbt-based","other ctr","north america","some concern"
"turner, 1979",1074,-0.892633091929703,0.24606573170282,"adults","individual","cut-off score","cbt-based","other ctr","north america","some concern"
"tyson, 1987",1079,-0.176819103042916,0.182585954557451,"adults","group","cut-off score","not-cbt-based","other ctr","north america","some concern"
"tyson, 1987",1080,0.0300580079693274,0.181840368620407,"adults","group","cut-off score","not-cbt-based","other ctr","north america","some concern"
"tyson, 1987",1081,-0.104174855122278,0.182084683609074,"adults","group","cut-off score","not-cbt-based","other ctr","north america","some concern"
"tyson, 1987",1082,-0.253738985193771,0.183399243155618,"adults","group","cut-off score","not-cbt-based","other ctr","north america","some concern"
"tyson, 1987",1083,-0.0995402054138358,0.182061498220749,"adults","group","cut-off score","not-cbt-based","other ctr","north america","some concern"
"tyson, 1987",1084,-0.22246322748706,0.183033502220833,"adults","group","cut-off score","not-cbt-based","other ctr","north america","some concern"
"vernmark, 2010",1116,0.929358322849885,0.0766157167363775,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"vernmark, 2010",1117,0.800844022083181,0.0746462224323685,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"vernmark, 2010",1118,0.556648640683846,0.0743652359768346,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"vernmark, 2010",1119,0.355916550100425,0.0726830737295893,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"warmerdam, 2008",1124,0.543403718436667,0.0237089418037035,"adults","guided self-help","cut-off score","cbt-based","wl","europe","low"
"warmerdam, 2008",1125,0.430975362898046,0.0233932124330148,"adults","guided self-help","cut-off score","cbt-based","wl","europe","low"
